name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
글램파크 글램핑 카라반,1,1,1,291500,4.93,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,18,61,48,0,19,49,98,0,0,19,0,0,88,37,63,6,11,11,15,19,0,0,63,0,81,0,3,1,93,53,6,0,2,4
글램파크 글램핑 카라반,1,1,1,216500,4.93,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,36,115,71,0,20,73,185,0,0,25,0,0,157,40,91,13,29,9,15,39,0,0,119,0,117,1,4,0,125,96,16,0,2,4
글램파크 글램핑 카라반,1,1,1,216500,4.93,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,53,44,0,15,48,101,0,0,22,0,0,89,23,59,3,7,4,12,15,0,0,52,0,52,2,0,0,66,51,6,0,2,4
글램파크 글램핑 카라반,1,1,1,196500,4.93,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,35,171,107,0,24,123,217,1,0,55,0,0,218,40,129,28,51,2,10,31,0,0,131,0,129,1,6,1,167,147,21,0,2,4
글램파크 글램핑 카라반,1,1,1,174000,4.93,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,35,152,112,0,23,147,233,0,0,53,0,0,202,51,136,19,40,6,17,38,0,0,183,0,116,2,4,0,236,188,24,0,2,4
글램파크 글램핑 카라반,1,1,1,174000,4.93,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34,154,105,0,24,106,242,0,0,51,0,0,157,36,110,25,46,3,18,25,0,0,160,0,118,0,7,0,190,147,17,0,2,4
메이플 글램핑 카라반 1호점,1,1,1,226500,4.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,30,0,0,11,0,77,0,0,0,0,1,24,0,0,21,64,0,0,24,0,0,62,0,81,46,11,0,37,6,24,0,2,3
메이플 글램핑 카라반 1호점,1,1,1,221500,4.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,37,0,0,15,0,73,0,0,0,0,0,30,0,2,26,93,0,0,19,0,0,78,0,89,51,19,0,32,8,28,0,2,3
메이플 글램핑 카라반 1호점,1,1,1,221500,4.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,39,1,0,16,0,70,0,0,0,0,1,18,0,2,23,76,0,0,26,0,0,69,0,77,51,18,0,31,6,20,0,2,3
메이플 글램핑 카라반 1호점,1,1,1,221500,4.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,48,0,0,29,0,118,0,0,1,0,1,26,0,0,37,122,0,0,34,0,0,99,0,134,80,19,0,53,11,32,0,2,3
메이플 글램핑 카라반 1호점,1,1,1,214000,4.91,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,26,0,0,13,0,61,0,0,0,0,0,18,0,0,19,56,0,0,33,0,0,45,0,61,33,8,0,35,9,17,0,2,4
메이플 글램핑 카라반 1호점,1,1,1,209000,4.91,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,29,0,0,24,0,98,0,0,0,0,0,26,0,0,30,90,0,0,19,0,0,86,0,107,61,18,0,45,13,28,0,2,4
메이플 글램핑 카라반 1호점,1,1,1,209000,4.91,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,30,0,0,26,0,99,0,0,0,0,0,34,0,1,22,110,0,0,29,0,0,94,0,112,83,15,0,43,9,20,0,2,4
메이플 글램핑 카라반 1호점,1,1,1,209000,4.91,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,34,0,0,30,0,95,0,0,0,0,0,32,0,0,13,104,0,0,28,0,0,86,0,110,78,21,0,45,10,19,0,2,4
메이플 글램핑 카라반 1호점,1,1,1,186500,4.91,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,13,0,0,9,0,36,0,0,0,0,0,12,0,1,13,43,0,0,19,0,0,37,0,46,33,10,0,26,8,17,0,2,3
메이플 글램핑 카라반 1호점,1,1,1,251500,4.91,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,15,16,0,0,8,0,62,0,0,0,0,0,12,0,0,12,57,0,0,12,0,0,55,0,64,47,7,0,16,1,11,0,2,3
메이플 글램핑 카라반 1호점,1,1,1,186500,4.91,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,4
